"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2025","37.037","37.028","37.130","36.845","6.27K","0.05%"
"07/03/2025","37.018","36.790","37.315","36.570","0.47K","0.79%"
"07/02/2025","36.727","36.245","36.815","36.055","41.29K","0.91%"
"07/01/2025","36.397","36.325","36.875","36.055","54.05K","0.62%"
"06/30/2025","36.172","36.150","36.460","35.585","43.84K","1.46%"
"06/29/2025","35.650","35.818","35.908","35.268","0.02K","-1.98%"
"06/27/2025","36.370","36.890","36.975","35.950","67.93K","-1.05%"
"06/26/2025","36.757","36.395","36.925","36.365","1.89K","1.86%"
"06/25/2025","36.085","36.085","36.085","36.085","0.00K","1.08%"
"06/24/2025","35.701","35.830","35.830","35.600","0.01K","-1.25%"
"06/23/2025","36.153","36.160","36.165","36.160","0.01K","0.38%"
"06/20/2025","36.017","36.750","36.820","35.515","95.42K","-0.96%"
"06/19/2025","36.368","36.785","36.820","36.182","31.88K","-1.48%"
"06/18/2025","36.913","37.205","37.405","36.540","60.67K","-0.64%"
"06/17/2025","37.151","36.370","37.330","36.170","80.27K","1.93%"
"06/16/2025","36.448","36.450","36.645","36.125","49.80K","0.26%"
"06/13/2025","36.355","36.410","36.770","36.040","58.85K","0.17%"
"06/12/2025","36.295","36.360","36.585","35.580","75.67K","0.09%"
"06/11/2025","36.261","36.675","36.790","36.150","77.36K","-1.04%"
"06/10/2025","36.642","36.895","36.975","36.425","66.39K","-0.42%"
"06/09/2025","36.796","36.165","37.030","36.055","79.17K","1.82%"
"06/06/2025","36.139","35.800","36.510","35.755","85.16K","0.93%"
"06/05/2025","35.805","34.650","36.270","34.600","113.63K","3.34%"
"06/04/2025","34.648","34.680","34.825","34.355","50.00K","0.04%"
"06/03/2025","34.633","34.920","34.935","34.165","75.48K","-0.18%"
"06/02/2025","34.694","33.130","34.945","33.075","90.76K","5.04%"
"05/30/2025","33.029","33.450","33.470","32.865","41.47K","-1.18%"
"05/29/2025","33.423","33.110","33.655","32.800","50.05K","0.79%"
"05/28/2025","33.160","33.380","33.580","33.035","41.20K","-0.45%"
"05/27/2025","33.311","33.610","33.745","32.880","60.14K","-0.80%"
"05/26/2025","33.580","33.600","33.743","33.415","14.96K","-0.04%"
"05/25/2025","33.595","33.618","33.710","33.560","44.59K","-0.04%"
"05/23/2025","33.609","33.185","33.695","33.020","46.29K","1.17%"
"05/22/2025","33.219","33.585","33.915","32.740","66.34K","-1.27%"
"05/21/2025","33.646","33.275","33.780","33.125","59.59K","1.42%"
"05/20/2025","33.174","32.500","33.305","32.235","50.29K","2.05%"
"05/19/2025","32.507","32.550","32.795","32.380","33.72K","0.47%"
"05/16/2025","32.354","32.795","32.865","31.980","40.94K","-1.00%"
"05/15/2025","32.680","32.395","32.820","31.780","45.07K","0.73%"
"05/14/2025","32.444","33.085","33.150","32.255","47.79K","-1.98%"
"05/13/2025","33.100","32.800","33.435","32.680","48.17K","1.46%"
"05/12/2025","32.624","32.600","33.200","32.045","61.46K","-0.88%"
"05/09/2025","32.914","32.605","33.040","32.360","32.46K","0.91%"
"05/08/2025","32.617","32.575","33.095","32.370","48.49K","-0.53%"
"05/07/2025","32.791","33.470","33.480","32.415","49.63K","-1.77%"
"05/06/2025","33.381","32.695","33.470","32.625","54.72K","2.79%"
"05/05/2025","32.474","32.250","32.880","32.160","32.79K","0.67%"
"05/02/2025","32.259","32.630","32.975","32.120","40.59K","-0.65%"
"05/01/2025","32.469","32.810","32.865","31.860","43.16K","-1.09%"
